sim_time, animated_rocket?world_pose/position/x
206.307, 10.2278
206.308, 10.2278
206.309, 10.2278
206.31, 10.2278
206.311, 10.2278
206.312, 10.2961
206.313, 10.2961
206.314, 10.2961
206.315, 10.2961
206.316, 10.2961
206.317, 10.2961
206.318, 10.2961
206.319, 10.2961
206.32, 10.2961
206.321, 10.2961
206.322, 10.2961
206.323, 10.2961
206.324, 10.2961
206.325, 10.2961
206.326, 10.2961
206.327, 10.2961
206.328, 10.2961
206.329, 10.2961
206.33, 10.2961
206.331, 10.2961
206.332, 10.2961
206.333, 10.2961
206.334, 10.2961
206.335, 10.2961
206.336, 10.2961
206.337, 10.2961
206.338, 10.2961
206.339, 10.2961
206.34, 10.2961
206.341, 10.2961
206.342, 10.2961
206.343, 10.2961
206.344, 10.2961
206.345, 10.2961
206.346, 10.362
206.347, 10.362
206.348, 10.362
206.349, 10.362
206.35, 10.362
206.351, 10.362
206.352, 10.362
206.353, 10.362
206.354, 10.362
206.355, 10.362
206.356, 10.362
206.357, 10.362
206.358, 10.362
206.359, 10.362
206.36, 10.362
206.361, 10.362
206.362, 10.362
206.363, 10.362
206.364, 10.362
206.365, 10.362
206.366, 10.362
206.367, 10.362
206.368, 10.362
206.369, 10.362
206.37, 10.362
206.371, 10.362
206.372, 10.362
206.373, 10.362
206.374, 10.362
206.375, 10.362
206.376, 10.362
206.377, 10.362
206.378, 10.362
206.379, 10.362
206.38, 10.4342
206.381, 10.4342
206.382, 10.4342
206.383, 10.4342
206.384, 10.4342
206.385, 10.4342
206.386, 10.4342
206.387, 10.4342
206.388, 10.4342
206.389, 10.4342
206.39, 10.4342
206.391, 10.4342
206.392, 10.4342
206.393, 10.4342
206.394, 10.4342
206.395, 10.4342
206.396, 10.4342
206.397, 10.4342
206.398, 10.4342
206.399, 10.4342
206.4, 10.4342
206.401, 10.4342
206.402, 10.4342
206.403, 10.4342
206.404, 10.4342
206.405, 10.4342
206.406, 10.4342
206.407, 10.4342
206.408, 10.4342
206.409, 10.4342
206.41, 10.4342
