sim_time, my_bot/altitude_joint?0/velocity
429.55, 1.08732e-16
429.551, -1.97949e-20
429.552, -8.77343e-20
429.553, 5.30992e-18
429.554, -5.47564e-18
429.555, -1.09018e-16
429.556, 1.08934e-16
429.557, 1.08939e-16
429.558, -8.93557e-20
429.559, -1.03807e-16
429.56, -7.8307e-20
429.561, -2.28609e-16
429.562, 1.14192e-16
429.563, -5.15428e-18
429.564, 5.06309e-18
429.565, -6.44606e-20
429.566, 9.98371e-18
429.567, 2.18307e-16
429.568, 2.28361e-16
429.569, 9.90013e-18
429.57, -1.14247e-16
429.571, 1.04293e-16
429.572, -1.19144e-16
429.573, -8.34906e-20
429.574, -1.09401e-16
429.575, 1.18887e-16
429.576, 1.04568e-16
429.577, 2.2351e-16
429.578, -1.0473e-16
429.579, -1.09497e-16
429.58, -4.70189e-18
429.581, 1.04779e-16
429.582, 4.5668e-18
429.583, 4.53285e-18
429.584, 1.18546e-16
429.585, 1.04962e-16
429.586, 1.09558e-16
429.587, -1.09672e-16
429.588, -1.18533e-16
429.589, -1.14106e-16
429.59, -4.03501e-20
429.591, 4.26593e-18
429.592, -4.3858e-18
429.593, -4.37723e-18
429.594, -1.14006e-16
429.595, -1.05562e-16
429.596, 2.27883e-16
429.597, 1.18086e-16
429.598, -1.14003e-16
429.599, 1.09714e-16
429.6, 1.05629e-16
429.601, -8.19057e-20
429.602, -8.16325e-18
429.603, -1.13928e-16
429.604, -2.23812e-16
429.605, -1.05937e-16
429.606, 1.09853e-16
429.607, -1.09937e-16
429.608, -2.23821e-16
429.609, 1.13708e-16
429.61, 1.0989e-16
429.611, 1.09847e-16
429.612, -6.68721e-20
429.613, -7.29637e-20
429.614, -1.13803e-16
429.615, -8.45963e-20
429.616, 2.27324e-16
429.617, -2.31126e-16
429.618, 2.23705e-16
429.619, 2.30924e-16
429.62, -1.17321e-16
429.621, 3.49312e-18
429.622, 3.44161e-18
429.623, 3.43464e-18
429.624, -4.31321e-20
429.625, -3.44393e-18
429.626, 1.08426e-16
429.627, -1.11928e-16
429.628, -1.73185e-18
429.629, 1.1348e-16
429.63, -1.13618e-16
