# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.048,107.223,30.796,-14.74,31.265,14.784,13.139,8.072e-4,13.139,0.004,5.396,1.135,0.048,-1.344e-7,-0.017,-7.297e-5,100.595,0,0.51
3.098,108.745,30.064,-14.516,30.535,14.557,13.408,8.485e-4,13.408,0.004,5.341,1.094,0.061,-9.311e-8,-0.015,-5.008e-5,100.595,0,0.488
3.148,110.23,29.343,-14.318,29.816,14.35,13.674,8.907e-4,13.674,0.004,5.29,0.961,0.144,-1.759e-7,-0.011,3.843e-5,100.595,0,0.465
3.198,111.679,28.631,-14.141,29.109,14.161,13.937,9.329e-4,13.937,0.004,5.248,0.752,0.293,-7.63e-8,-0.002,-5.402e-6,100.595,0,0.443
3.248,113.093,27.931,-13.867,28.412,13.902,14.198,9.748e-4,14.198,0.004,5.205,0.995,0.037,-1.013e-7,0.004,-3.442e-5,100.595,0,0.422
3.298,114.472,27.244,-13.629,27.727,13.674,14.457,0.001,14.457,0.004,5.152,1.116,0.131,-8.254e-8,-0.002,-1.778e-5,100.595,0,0.402
3.348,115.818,26.57,-13.358,27.052,13.438,14.713,0.001,14.713,0.004,5.086,1.458,0.52,-7.648e-8,0.009,-2.032e-5,100.595,0,0.384
3.38,116.681,26.134,-13.249,26.616,13.322,14.879,0.001,14.879,0.004,5.038,1.393,0.492,-8.588e-8,0.019,-1.078e-5,100.595,0,0.371
3.418,117.653,25.639,-13.155,26.12,13.21,15.067,0.001,15.067,0.004,4.99,1.203,0.322,-1.111e-7,0.028,-2.666e-5,100.595,0,0.358
3.468,118.918,24.983,-13.088,25.467,13.11,15.315,0.001,15.315,0.004,4.938,0.762,0.15,-1.11e-7,-0.033,-2.501e-5,100.595,0,0.34
